,Permit no,Mountain height,Permitted member(Male),Permitted member(Female),Total,Success summiteers(Male),Success sumiteers(Female),Total
2,1,Mt. Amadablam (6814m.),339,68,407,163,28,191
3,2,Mt. Amolsang (6393m.),1,0,1,1,0,1
4,3,Mt. Amphu 1 (6740m.),3,0,3,0,0,0
5,4,Mt. Annapurna I (8091m.),15,4,19,11,4,15
6,5,Mt. Annapurna III (7555m.),3,0,3,0,0,0
7,6,Mt. Annapurna IV (7525m.),10,1,11,1,0,1
8,7,Mt. Api (7132m.),3,1,4,0,0,0
9,8,Mt. Araniko Chuli(6039m.),17,6,23,0,0,0
10,9,Mt. Ardang (6034m.),2,2,4,1,1,2
11,10,"Mt. Baden Powell Scout Peak  # 
5890m.",1,1,2,1,1,2
12,11,Mt. Baruntse (7152m.),27,6,33,5,3,8
13,12,Mt. Bhrikuti (6460m.),12,10,22,0,0,0
14,13,Mt. Chamlang (7319m.),16,3,19,4,0,4
15,14,Mt. Chandi Himal (6096m.),3,0,3,0,0,0
16,15,Mt. Chhopabamare (6109m.),1,1,2,1,1,2
17,16,Mt. Chobuje (6685m.),2,0,2,0,0,0
18,17,Mt. Chukyima Go (6258m.),1,1,2,0,0,0
19,18,Mt. Danfe Shail (6103m.),2,1,3,0,0,0
20,19,Mt. Dhawalagiri (8167m.),27,9,36,4,1,5
21,20,Mt. Everest (88485m.),315,78,393,215,65,280
22,21,Mt. Gandharva Chuli (6248m.),1,0,1,0,0,0
23,22,Mt. Gangapurna (7455m.),7,2,9,0,0,0
24,23,Mt. Gaugiri (6110m.),17,8,25,5,2,7
25,24,Mt.  Gyalzen Peak(6151m.),4,2,6,1,2,3
2,25,Mt. Himjung (7092m.),4,0,4,0,0,0
3,26,Mt. Himlung (7126m.),97,25,122,36,16,52
4,27,Mt. Hongde (6456m.),6,0,6,6,0,6
5,28,Mt. Hongu (Sura Peak) (6764m.),1,0,1,0,0,0
6,29,Mt. Hunku Chuli (6833m.),2,0,2,0,0,0
7,30,Mt. Kanchanjunga Main (8586m.),29,5,34,23,5,28
8,31,Mt. Kangbachen (7903m.),1,1,2,0,0,0
9,32,Mt. Khang Karpo (6646m.),2,0,2,0,0,0
10,33,"Mt. Khangchung (UIAA Peak) 
6063m.",2,0,2,0,0,0
11,34,Mt. Khangtega (6783m.),2,0,2,2,0,2
12,35,"Mt. Kumbhakarna ((Jannu 
7710m.)",6,0,6,0,0,0
13,36,Mt. Lachama Chuli (6721m.),8,3,11,0,0,0
14,37,Mt. Langju Peak (6426m.),2,0,2,0,0,0
15,38,Mt. Langtang Lirung (7234m.),2,0,2,0,0,0
16,39,Mt. Langtang Ri (7205m.),4,1,5,0,0,0
17,40,Mt. Lhotse (8516m.),101,18,119,30,10,40
18,41,Mt. Linku Chuli 2(6659m.),1,4,5,0,4,4
19,42,Mt. Lubula (6899m.),13,2,15,8,2,10
20,43,Mt. Makalu (8463m.),44,13,57,28,9,37
21,44,Mt. Manaslu (8163m.),209,60,269,140,48,188
22,45,Mt. Mansail (6242m.),10,7,17,0,0,0
23,46,Mt. Mukot Himal (6087m.),18,12,30,0,0,0
24,47,Mt. Mustang Himal (6195m.),10,5,15,0,0,0
25,48,Mt. Nemjung (7139m.),7,1,8,3,0,3
26,49,Mt. Norbu Kang (6005m.),4,3,7,1,0,1
2,50,Mt. Nuptse (7855m.),33,12,45,0,0,0
3,51,"Mt. Panpoche 1 ( Pang Phunch 
6620m. )",8,0,8,3,0,3
4,52,Mt. Panpoche II (6504m. ),3,0,3,3,0,3
5,53,Mt. Pasang Lhamu (7351m.),4,0,4,0,0,0
6,54,Mt. Peri (6174m.),1,0,1,0,0,0
7,55,Mt. Pokhar khang (6348m.),8,5,13,0,0,0
8,56,Mt. Putha Hiunchuli (7246m.),29,7,36,18,5,23
9,57,Mt. Pumori (7161m),9,2,11,4,0,4
10,58,Mt. Ratna Chuli (7128m.),5,0,5,0,0,0
11,59,Mt. Saribung (6346m.),65,45,110,8,4,12
12,60,"Mt. Sherson (Peak 3, 6422m.)",1,1,2,0,0,0
13,61,Mt. Shey Shikhar (6139m.),5,3,8,0,0,0
14,62,Mt. Tengi Ragi Tau (6938m.),8,0,8,7,0,7
15,63,Mt. Tengkangpoche (6482m.),6,1,7,0,0,0
16,64,Mt. Tengkoma (6215m.),2,2,4,1,2,3
17,65,Mt. Thakar Go East (6152m.),4,0,4,0,0,0
18,66,"Mt. Thapa Peak (Dhampus 
6012m.)",54,22,76,25,8,33
19,67,Mt. Thorang Peak (6144m.),28,9,37,5,0,5
20,68,Mt. Tilicho Peak (7134m.),4,0,4,0,0,0
21,69,Mt. Tobsar Peak (6100m.),1,1,2,0,0,0
22,total,,1692,474,2166,764,221,985
2,1,Albania,0,1,1,0,0,0
3,2,Andorra,2,1,3,2,1,3
4,3,Argentina,11,0,11,6,0,6
5,4,Australia,44,16,60,14,4,18
6,5,Austria,22,6,28,13,3,16
7,6,Azerbaijan,3,0,3,3,0,3
8,7,Bahrain,1,0,1,0,0,0
9,8,Bangladesh,2,0,2,1,0,1
10,9,Belgium,11,1,12,6,0,6
11,10,Brazil,14,2,16,7,1,8
12,11,Bulgaria,7,1,8,7,0,7
13,12,Canada,36,12,48,20,5,25
14,13,Chile,11,1,12,7,0,7
15,14,China,107,55,162,82,42,124
16,15,Colombia,1,0,1,0,0,0
17,16,Croatia,1,0,1,0,0,0
18,17,Cyprus,1,0,1,0,0,0
19,18,Czech Republic,13,3,16,4,1,5
20,19,Denmark,6,0,6,1,0,1
21,20,Dominican Republic,1,0,1,0,0,0
22,21,Ecuador,3,0,3,3,0,3
23,22,Egypt,1,0,1,1,0,1
24,23,Estonia,1,1,2,1,1,2
25,24,Finland,3,0,3,2,0,2
26,25,France,150,46,196,48,13,61
27,26,Georgia,9,0,9,9,0,9
28,27,Germany,99,28,127,35,7,42
29,28,Greece,6,4,10,2,4,6
30,29,Hong Kong,7,1,8,7,1,8
31,30,Hungary,3,3,6,0,0,0
